Unnamed: 0,name,full_name,age,height,nationality,place_of_birth,price,max_price,position,shirt_nr,foot,club,contract_expires,joined_club,player_agent,outfitter,price_eur,max_price_eur
0,Manuel Neuer,Manuel Peter Neuer,37,1.93,Germany,Gelsenkirchen,7.0,45.0,Goalkeeper,1,Right,Bayern Munich,2024-06-30,2011-07-01,Pro Profil Gmbh,Adidas,7.0,45.0
1,Yann Sommer,,34,1.83,Switzerland,Morges,5.0,13.0,Goalkeeper,27,Right,Bayern Munich,2025-06-30,2023-01-19,Relatives,Puma,5.0,13.0
2,Sven Ulreich,,34,1.92,Germany,Schorndorf,0.9,6.0,Goalkeeper,26,Right,Bayern Munich,2024-06-30,2021-07-01,Bms Sportconsulting ...,Adidas,0.9,6.0
3,Johannes Schenk,,20,1.91,Germany,Schweinfurt,0.3,0.3,Goalkeeper,35,Unknown,Bayern Munich,2024-06-30,2022-07-01,11Wins,Unknown,0.3,0.3
4,Matthijs de Ligt,,23,1.89,Netherlands,Leiderdorp,75.0,75.0,Defender - Centre-Back,4,Right,Bayern Munich,2027-06-30,2022-07-19,Rafaela Pimenta,Adidas,75.0,75.0
5,Dayot Upamecano,Dayotchanculle Oswald Upamecano,24,1.86,France  Guinea-Bissau,Évreux,60.0,60.0,Defender - Centre-Back,2,Right,Bayern Munich,2026-06-30,2021-07-05,Unique Sports Group,Nike,60.0,60.0
6,Lucas Hernández,Lucas François Bernard Hernández Pi,27,1.84,France  Spain,Marseille,50.0,70.0,Defender - Centre-Back,21,Left,Bayern Munich,2024-06-30,2019-07-01,Manuel García ...,Nike,50.0,70.0
7,Alphonso Davies,Alphonso Boyle Davies,22,1.85,Canada  Liberia,Buduburam,70.0,80.0,Defender - Left-Back,19,Left,Bayern Munich,2025-06-30,2019-01-01,Atg Sports,Unknown,70.0,80.0
8,Daley Blind,,33,1.8,Netherlands,Amsterdam,6.0,25.0,Defender - Left-Back,23,Left,Bayern Munich,2023-06-30,2023-01-05,Seg,Adidas,6.0,25.0
9,João Cancelo,João Pedro Cavaco Cancelo,28,1.82,Portugal,Barreiro,60.0,70.0,Defender - Right-Back,22,Right,Bayern Munich,2023-06-30,2023-01-31,Gestifute,Nike,60.0,70.0
10,Benjamin Pavard,,27,1.86,France,Maubeuge,35.0,45.0,Defender - Right-Back,5,Right,Bayern Munich,2024-06-30,2019-07-01,Carmenta,Adidas,35.0,45.0
11,Noussair Mazraoui,نصير مزراوي,25,1.83,Morocco  Netherlands,Leiderdorp,28.0,28.0,Defender - Right-Back,40,Right,Bayern Munich,2026-06-30,2022-07-01,Rafaela Pimenta,Adidas,28.0,28.0
12,Josip Stanisic,Josip Stanišić,23,1.87,Croatia  Germany,München,12.0,12.0,Defender - Right-Back,44,Both,Bayern Munich,2026-06-30,2021-08-01,Ballwerk Sports Gmbh,Adidas,12.0,12.0
13,Bouna Sarr,,31,1.77,Senegal  France,Lyon,2.5,9.0,Defender - Right-Back,20,Right,Bayern Munich,2024-06-30,2020-10-05,Wasserman,Unknown,2.5,9.0
14,Joshua Kimmich,Joshua Walter Kimmich,28,1.77,Germany,Rottweil,80.0,90.0,midfield - Defensive Midfield,6,Right,Bayern Munich,2025-06-30,2015-07-02,Unknown,Unknown,80.0,90.0
15,Leon Goretzka,Leon Christoph Goretzka,28,1.89,Germany,Bochum,65.0,70.0,midfield - Central Midfield,8,Right,Bayern Munich,2026-06-30,2018-07-01,Neubauer 13 Gmbh,Unknown,65.0,70.0
16,Ryan Gravenberch,Ryan Jiro Gravenberch,20,1.9,Netherlands  Suriname,Amsterdam,30.0,35.0,midfield - Central Midfield,38,Right,Bayern Munich,2027-06-30,2022-07-01,Team Raiola,Adidas,30.0,35.0
17,Jamal Musiala,,20,1.84,Germany  England,Stuttgart,110.0,110.0,midfield - Attacking Midfield,42,Right,Bayern Munich,2026-06-30,2020-07-01,11Wins,Unknown,110.0,110.0
18,Paul Wanner,,17,1.85,Germany  Austria,Dornbirn,3.0,3.0,midfield - Attacking Midfield,14,Left,Bayern Munich,2027-06-30,2022-01-31,Agent Is Known - Player Under 18,Adidas,3.0,3.0
19,Arijon Ibrahimovic,Arijon Ibrahimović / Arijon Ibrahimi,17,1.76,Germany  Kosovo,Nürnberg,1.0,1.0,midfield - Attacking Midfield,46,Right,Bayern Munich,2025-06-30,2023-01-17,Agent Is Known - Player Under 18,Unknown,1.0,1.0
20,Kingsley Coman,Kingsley Junior Coman,26,1.81,France  Guadeloupe,Paris,65.0,65.0,Attack - Left Winger,11,Right,Bayern Munich,2027-06-30,2017-07-01,Caa Base Ltd,Nike,65.0,65.0
21,Sadio Mané,,31,1.74,Senegal,Bambaly,45.0,150.0,Attack - Left Winger,17,Right,Bayern Munich,2025-06-30,2022-07-01,Roof,New Balance,45.0,150.0
22,Leroy Sané,Leroy Aziz Sané,27,1.83,Germany  France,Essen,70.0,100.0,Attack - Right Winger,10,Left,Bayern Munich,2025-06-30,2020-07-15,Lian Sports Group,Nike,70.0,100.0
23,Serge Gnabry,Serge David Gnabry,27,1.76,Germany  Cote D'Ivoire,Stuttgart,55.0,90.0,Attack - Right Winger,7,Right,Bayern Munich,2026-06-30,2017-07-01,Roof,Adidas,55.0,90.0
24,Thomas Müller,,33,1.85,Germany,Weilheim In Oberbayern,18.0,75.0,Attack - Second Striker,25,Right,Bayern Munich,2024-06-30,2009-07-01,Kögl & Partner Gmbh,Adidas,18.0,75.0
25,Mathys Tel,,18,1.83,France  Guadeloupe,Sarcelles,20.0,20.0,Attack - Centre-Forward,39,Right,Bayern Munich,2025-06-30,2022-07-26,Unknown,Unknown,20.0,20.0
26,Eric Maxim Choupo-Moting,Eric Maxim Choupo-Moting,34,1.91,Cameroon  Germany,Hamburg,6.0,10.0,Attack - Centre-Forward,13,Right,Bayern Munich,2024-06-30,2020-10-05,Rogon,Puma,6.0,10.0
27,Gregor Kobel,,25,1.94,Switzerland,Zürich,35.0,35.0,Goalkeeper,1,Right,Bor. Dortmund,2026-06-30,2021-07-01,Sbe Management Ag,Unknown,35.0,35.0
28,Marcel Lotka,Marcel Laurenz Lotka,21,1.9,Germany  Poland,Duisburg,1.3,1.3,Goalkeeper,35,Right,Bor. Dortmund,2025-06-30,2022-07-01,Seg,Unknown,1.3,1.3
29,Alexander Meyer,Alexander Niklas Meyer-Schade,32,1.95,Germany,Bad Oldesloe,1.0,1.0,Goalkeeper,33,Right,Bor. Dortmund,2024-06-30,2022-07-01,Aka Global Gmbh,Unknown,1.0,1.0
30,Luca Unbehaun,,22,1.85,Germany,Bochum,1.0,1.5,Goalkeeper,38,Right,Bor. Dortmund,2023-06-30,2019-07-01,Swsports,Unknown,1.0,1.5
31,Nico Schlotterbeck,Nico Cedric Schlotterbeck,23,1.91,Germany,Waiblingen,40.0,40.0,Defender - Centre-Back,4,Left,Bor. Dortmund,2027-06-30,2022-07-01,Robert Schneider,Unknown,40.0,40.0
32,Niklas Süle,,27,1.95,Germany,Frankfurt Am Main,35.0,60.0,Defender - Centre-Back,25,Right,Bor. Dortmund,2026-06-30,2022-07-01,Sports360 Gmbh,Nike,35.0,60.0
33,Mats Hummels,Mats Julian Hummels,34,1.91,Germany,Bergisch Gladbach,6.5,60.0,Defender - Centre-Back,15,Right,Bor. Dortmund,2023-06-30,2019-07-01,Hmh Sportmanagement,Adidas,6.5,60.0
34,Soumaïla Coulibaly,,19,1.9,France  Mali,Montfermeil,1.0,1.0,Defender - Centre-Back,44,Left,Bor. Dortmund,2026-06-30,2021-07-01,Epic Sports,Puma,1.0,1.0
35,Antonios Papadopoulos,Αντώνης Παπαδόπουλος,23,1.86,Germany  Greece,Stuttgart,0.6,0.6,Defender - Centre-Back,18,Right,B. Dortmund Ii,2024-06-30,2021-07-01,Caa Stellar,Unknown,0.6,0.6
36,Raphaël Guerreiro,Raphaël Adelino José Guerreiro,29,1.7,Portugal  France,Le Blanc-Mesnil,20.0,40.0,Defender - Left-Back,13,Left,Bor. Dortmund,2023-06-30,2016-07-01,Wasserman,Adidas,20.0,40.0
37,Tom Rothe,Tom Alexander Rothe,18,1.93,Germany,Rendsburg,3.5,3.5,Defender - Left-Back,36,Left,Bor. Dortmund,2024-06-30,2022-07-01,Wasserman,Unknown,3.5,3.5
38,Nico Schulz,,30,1.8,Germany,Berlin,2.0,25.0,Defender - Left-Back,14,Left,Bor. Dortmund,2024-06-30,2019-07-01,Rogon,Unknown,2.0,25.0
39,Julian Ryerson,,25,1.83,Norway,Lyngdal,10.0,10.0,Defender - Right-Back,26,Right,Bor. Dortmund,2026-06-30,2023-01-17,Caa Base Ltd,Unknown,10.0,10.0
40,Marius Wolf,,27,1.87,Germany,Coburg,9.0,10.0,Defender - Right-Back,17,Right,Bor. Dortmund,2024-06-30,2018-07-02,Rogon,Unknown,9.0,10.0
41,Thomas Meunier,,31,1.91,Belgium,Sainte-Ode,6.5,35.0,Defender - Right-Back,24,Right,Bor. Dortmund,2024-06-30,2020-07-01,Thomas Meunier,Adidas,6.5,35.0
42,Mateu Morey Bauzà,Mateu Jaume Morey Bauzà,23,1.73,Spain,Palma De Mallorca,1.5,7.0,Defender - Right-Back,2,Right,Bor. Dortmund,2024-06-30,2019-07-01,Unknown,Unknown,1.5,7.0
43,Felix Passlack,,24,1.7,Germany,Bottrop,1.5,3.0,Defender - Right-Back,30,Right,Bor. Dortmund,2023-06-30,2016-01-04,Teamgeist ...,Nike,1.5,3.0
44,Salih Özcan,,25,1.83,Turkey  Germany,Köln,17.0,17.0,midfield - Defensive Midfield,6,Right,Bor. Dortmund,2026-06-30,2022-07-01,Dirk Hebel,Unknown,17.0,17.0
45,Emre Can,,29,1.86,Germany  Turkey,Frankfurt Am Main,14.0,40.0,midfield - Defensive Midfield,23,Right,Bor. Dortmund,2024-06-30,2020-07-01,Ism Int. Soccer ...,Unknown,14.0,40.0
46,Abdoulaye Kamara,,18,1.83,France  Guinea,Conakry,1.0,1.0,midfield - Defensive Midfield,32,Right,B. Dortmund Ii,2024-06-30,2021-07-20,Unknown,Unknown,1.0,1.0
47,Jude Bellingham,Jude Victor William Bellingham,19,1.86,England,Stourbridge,120.0,120.0,midfield - Central Midfield,22,Right,Bor. Dortmund,2025-06-30,2020-07-23,Unknown,Adidas,120.0,120.0
48,Mahmoud Dahoud,,27,1.78,Germany  Syria,Amûdê‎,12.0,18.0,midfield - Central Midfield,8,Right,Bor. Dortmund,2023-06-30,2017-07-01,Lorimanagement,Puma,12.0,18.0
49,Julian Brandt,,27,1.85,Germany,Bremen,40.0,50.0,midfield - Attacking Midfield,19,Right,Bor. Dortmund,2026-06-30,2019-07-01,Relatives,Nike,40.0,50.0
50,Giovanni Reyna,Giovanni Alejandro Reyna,20,1.85,United States  Portugal,Durham,28.0,42.0,midfield - Attacking Midfield,7,Right,Bor. Dortmund,2025-06-30,2020-01-12,Wasserman,Adidas,28.0,42.0
51,Marco Reus,,33,1.8,Germany,Dortmund,9.0,50.0,midfield - Attacking Midfield,11,Right,Bor. Dortmund,2024-06-30,2012-07-01,Dirk Hebel,Puma,9.0,50.0
52,Göktan Gürpüz,,20,1.76,Turkey  Germany,Duisburg,0.3,0.3,midfield - Attacking Midfield,42,Right,B. Dortmund Ii,2025-06-30,2022-07-01,Sbe Management Ag,Unknown,0.3,0.3
53,Karim Adeyemi,Karim-David Adeyemi,21,1.8,Germany  Nigeria,München,35.0,35.0,Attack - Left Winger,27,Left,Bor. Dortmund,2027-06-30,2022-07-01,Kick&Run,Nike,35.0,35.0
54,Jamie Bynoe-Gittens,Jamie Jermaine Bynoe-Gittens,18,1.77,England  Barbados,London,14.0,14.0,Attack - Left Winger,43,Right,Bor. Dortmund,2025-06-30,2022-07-01,Elite Project Group ...,Unknown,14.0,14.0
55,Donyell Malen,,24,1.78,Netherlands  Suriname,Wieringen,16.0,30.0,Attack - Right Winger,21,Right,Bor. Dortmund,2026-06-30,2021-07-27,Rafaela Pimenta,Nike,16.0,30.0
56,Julien Duranville,,17,1.7,Belgium,Uccle,5.0,5.0,Attack - Right Winger,16,Right,Bor. Dortmund,,2023-01-27,Agent Is Known - Player Under 18,Unknown,5.0,5.0
57,Sébastien Haller,Sébastien Romain Teddy Haller,28,1.91,Cote D'Ivoire  France,Ris-Orangis,30.0,45.0,Attack - Centre-Forward,9,Right,Bor. Dortmund,2026-06-30,2022-07-06,Management 360,Puma,30.0,45.0
58,Youssoufa Moukoko,,18,1.79,Germany  Cameroon,Yaoundé,30.0,30.0,Attack - Centre-Forward,18,Left,Bor. Dortmund,2026-06-30,2020-07-29,Wasserman,Nike,30.0,30.0
59,Anthony Modeste,Anthony Mbu Agogo Modeste,35,1.88,France  Martinique,Cannes,1.0,20.0,Attack - Centre-Forward,20,Right,Bor. Dortmund,2023-06-30,2022-08-08,Wasserman,Unknown,1.0,20.0
60,Péter Gulácsi,,33,1.9,Hungary,Budapest,6.0,13.0,Goalkeeper,1,Right,Rb Leipzig,2025-06-30,2015-07-01,Hcm Sports ...,Unknown,6.0,13.0
61,Janis Blaswich,Janis Jonathan Blaswich,32,1.93,Germany,Willich,2.0,2.0,Goalkeeper,21,Right,Rb Leipzig,2025-06-30,2022-07-01,Pro Profil Gmbh,Adidas,2.0,2.0
62,Örjan Nyland,Ørjan Håskjold Nyland,32,1.92,Norway,Volda,0.6,3.0,Goalkeeper,13,Right,Rb Leipzig,2023-06-30,2022-10-09,Solbakken / Player ...,Unknown,0.6,3.0
63,Jonas Nickisch,,18,1.9,Germany,Dresden,0.2,0.2,Goalkeeper,1,Both,Rb Leipzig U19,2023-06-30,2021-07-01,Neblung ...,Unknown,0.2,0.2
64,Timo Schlieck,,17,1.95,Germany,Oelde,0.2,0.2,Goalkeeper,1,Right,Rb Leipzig U17,2025-06-30,2021-07-01,Unknown,Unknown,0.2,0.2
66,Josko Gvardiol,Joško Gvardiol,21,1.85,Croatia,Zagreb,75.0,75.0,Defender - Centre-Back,32,Left,Rb Leipzig,2027-06-30,2021-07-01,Marjan Sisic,Unknown,75.0,75.0
67,Mohamed Simakan,,23,1.87,France  Guinea,Marseille,28.0,28.0,Defender - Centre-Back,2,Right,Rb Leipzig,2027-06-30,2021-07-01,Bs Group - Bs Law,Puma,28.0,28.0
68,Abdou Diallo,Abdou-Lakhad Diallo,27,1.87,Senegal  France,Tours,15.0,35.0,Defender - Centre-Back,37,Left,Rb Leipzig,2023-06-30,2022-09-01,Classico,Puma,15.0,35.0
69,Willi Orbán,Vilmos Tamás Orbán,30,1.86,Hungary  Germany,Kaiserslautern,10.0,20.0,Defender - Centre-Back,4,Right,Rb Leipzig,2025-06-30,2015-07-01,Rogon,Nike,10.0,20.0
70,David Raum,,25,1.8,Germany,Nürnberg,20.0,26.0,Defender - Left-Back,22,Left,Rb Leipzig,2027-06-30,2022-07-31,Roof,Unknown,20.0,26.0
71,Marcel Halstenberg,,31,1.88,Germany,Laatzen,4.0,22.0,Defender - Left-Back,23,Left,Rb Leipzig,2024-06-30,2015-08-31,Truesports Gmbh,Unknown,4.0,22.0
72,Sanoussy Ba,,19,1.84,Germany  Senegal,Hof,0.5,0.5,Defender - Left-Back,25,Both,Rb Leipzig,2025-06-30,2022-07-01,Sports360 Gmbh,Unknown,0.5,0.5
73,Benjamin Henrichs,,26,1.85,Germany  Ghana,Bocholt,15.0,20.0,Defender - Right-Back,39,Right,Rb Leipzig,2025-06-30,2021-07-01,Cn Sports,Unknown,15.0,20.0
74,Lukas Klostermann,Lukas Manuel Klostermann,26,1.89,Germany,Gevelsberg,12.0,38.0,Defender - Right-Back,16,Right,Rb Leipzig,2024-06-30,2014-08-22,Emg Mundial,Unknown,12.0,38.0
75,Konrad Laimer,,25,1.8,Austria,Salzburg,28.0,30.0,midfield - Central Midfield,27,Right,Rb Leipzig,2023-06-30,2017-07-01,Roof,Unknown,28.0,30.0
76,Xaver Schlager,,25,1.74,Austria,Linz,22.0,27.0,midfield - Central Midfield,24,Left,Rb Leipzig,2026-06-30,2022-07-01,Roof,Puma,22.0,27.0
77,Amadou Haidara,,25,1.75,Mali,Bamako,17.0,24.0,midfield - Central Midfield,8,Right,Rb Leipzig,2025-06-30,2019-01-01,Roof,Unknown,17.0,24.0
78,Kevin Kampl,,32,1.78,Slovenia,Solingen,5.0,22.0,midfield - Central Midfield,44,Right,Rb Leipzig,2024-06-30,2017-08-31,Mr Sport Management ...,Adidas,5.0,22.0
79,Dani Olmo,Daniel Olmo Carvajal,25,1.79,Spain,Terrassa,40.0,50.0,midfield - Attacking Midfield,7,Right,Rb Leipzig,2024-06-30,2020-01-25,Niagara Sports ...,Unknown,40.0,50.0
80,Dominik Szoboszlai,,22,1.87,Hungary,Székesfehérvár,40.0,40.0,midfield - Attacking Midfield,17,Right,Rb Leipzig,2026-06-30,2021-01-01,Em Sports Consulting,Unknown,40.0,40.0
81,Emil Forsberg,Emil Peter Forsberg,31,1.77,Sweden,Sundsvall,9.0,28.0,midfield - Attacking Midfield,10,Right,Rb Leipzig,2025-06-30,2015-01-07,Hcm Sports ...,Unknown,9.0,28.0
82,Caden Clark,Caden Christopher Clark,19,1.8,United States,"Medina, Minnesota",2.8,3.5,midfield - Attacking Midfield,28,Right,Rb Leipzig,2025-06-30,2021-07-01,Ymu Group,Unknown,2.8,3.5
83,Christopher Nkunku,Christopher Alan Nkunku,25,1.78,France  Dr Congo,Lagny-Sur-Marne,80.0,80.0,Attack - Second Striker,18,Right,Rb Leipzig,2026-06-30,2019-07-18,Gol International,Adidas,80.0,80.0
84,Timo Werner,,27,1.8,Germany,Stuttgart,25.0,80.0,Attack - Centre-Forward,11,Right,Rb Leipzig,2026-06-30,2022-08-09,Sports360 Gmbh,Adidas,25.0,80.0
85,André Silva,André Miguel Valente Silva,27,1.85,Portugal,Baguim Do Monte,20.0,45.0,Attack - Centre-Forward,19,Right,Rb Leipzig,2026-06-30,2021-07-02,Gestifute,Nike,20.0,45.0
86,Yussuf Poulsen,Yussuf Yurary Poulsen,28,1.92,Denmark  Tanzania,Kopenhagen,10.0,35.0,Attack - Centre-Forward,9,Right,Rb Leipzig,2024-06-30,2013-07-04,Pep Consulting,Unknown,10.0,35.0
87,Lukas Hradecky,Lukáš Hrádecký,33,1.92,Finland  Slovakia,Bratislava,2.5,12.0,Goalkeeper,1,Right,B. Leverkusen,2026-06-30,2018-07-01,Unknown,Uhlsport,2.5,12.0
88,Patrick Pentz,,26,1.82,Austria,Salzburg,1.5,2.5,Goalkeeper,28,Left,B. Leverkusen,2025-06-30,2023-01-27,World In Motion,Uhlsport,1.5,2.5
89,Andrey Lunev,Лунёв Андрей Евгеньевич,31,1.9,Russia,Moskau,1.5,10.5,Goalkeeper,40,Right,B. Leverkusen,2023-06-30,2021-07-10,Unknown,Nike,1.5,10.5
90,Niklas Lomb,,29,1.86,Germany,Köln,0.25,0.4,Goalkeeper,36,Right,B. Leverkusen,2024-06-30,2012-07-01,Dirk Hebel,Unknown,0.25,0.4
91,Edmond Tapsoba,Edmond Fayçal Tapsoba,24,1.94,Burkina Faso,Ouagadougou,30.0,40.0,Defender - Centre-Back,12,Right,B. Leverkusen,2026-06-30,2020-01-31,D20 Sports,Unknown,30.0,40.0
92,Piero Hincapié,Piero Martín Hincapié Reyna,21,1.83,Ecuador,Esmeraldas,25.0,25.0,Defender - Centre-Back,3,Left,B. Leverkusen,2027-06-30,2021-08-16,Fútbol División,Adidas,25.0,25.0
93,Jonathan Tah,Jonathan Glao Tah,27,1.95,Germany,Hamburg,20.0,40.0,Defender - Centre-Back,4,Right,B. Leverkusen,2025-06-30,2015-07-16,Gol International,Adidas,20.0,40.0
94,Odilon Kossounou,Odilon Kossounou Kouakou,22,1.91,Cote D'Ivoire,Abidjan,20.0,23.0,Defender - Centre-Back,6,Right,B. Leverkusen,2026-06-30,2021-07-22,Global Soccer ...,Unknown,20.0,23.0
95,Mitchel Bakker,,22,1.85,Netherlands,Purmerend,9.0,14.0,Defender - Left-Back,5,Left,B. Leverkusen,2025-06-30,2021-07-12,Team Raiola,Unknown,9.0,14.0
96,Daley Sinkgraven,,27,1.79,Netherlands,Assen,3.0,9.0,Defender - Left-Back,22,Left,B. Leverkusen,2023-06-30,2019-07-01,V4S,Nike,3.0,9.0
97,Jeremie Frimpong,Jeremie Agyekum Frimpong,22,1.71,Netherlands  Ghana,Amsterdam,35.0,35.0,Defender - Right-Back,30,Right,B. Leverkusen,2025-06-30,2021-01-27,Prolific Sports ...,Puma,35.0,35.0
98,Timothy Fosu-Mensah,Timothy Evans Fosu-Mensah,25,1.85,Netherlands  Ghana,Amsterdam,3.0,7.0,Defender - Right-Back,24,Right,B. Leverkusen,2024-06-30,2021-01-13,Caa Base Ltd,Unknown,3.0,7.0
99,Robert Andrich,,28,1.87,Germany,Potsdam,11.0,13.0,midfield - Defensive Midfield,8,Right,B. Leverkusen,2026-06-30,2021-08-16,Teamplayer ...,Unknown,11.0,13.0
100,Noah Mbamba,Noah Mbamba-Muanda,18,1.87,Belgium,Elsene,3.0,5.0,midfield - Defensive Midfield,18,Right,B. Leverkusen,2028-06-30,2023-01-14,Unknown,Unknown,3.0,5.0
101,Ayman Azhil,,22,1.75,Morocco  Germany,Düsseldorf,0.4,0.4,midfield - Defensive Midfield,32,Unknown,B. Leverkusen,2023-06-30,2020-07-01,Kl Sportsbase,Unknown,0.4,0.4
102,Joshua Eze,Joshua Chima Eze,20,1.83,Germany  Nigeria,Leverkusen,0.2,0.2,midfield - Defensive Midfield,35,Right,B. Leverkusen,2024-06-30,2022-07-01,Kick&Run,Unknown,0.2,0.2
103,Exequiel Palacios,Exequiel Alejandro Palacios,24,1.77,Argentina,Famaillá,15.0,25.0,midfield - Central Midfield,25,Right,B. Leverkusen,2025-06-30,2020-01-01,Eleven Talent Group,Unknown,15.0,25.0
104,Kerem Demirbay,,29,1.83,Germany  Turkey,Herten,9.0,32.0,midfield - Central Midfield,10,Left,B. Leverkusen,2024-06-30,2019-07-01,Emg Mundial,Adidas,9.0,32.0
105,Nadiem Amiri,,26,1.8,Germany  Afghanistan,Ludwigshafen Am Rhein,6.0,22.0,midfield - Central Midfield,11,Right,B. Leverkusen,2024-06-30,2019-07-30,Unknown,Unknown,6.0,22.0
106,Florian Wirtz,Florian Richard Wirtz,20,1.76,Germany,Pulheim,85.0,85.0,midfield - Attacking Midfield,27,Right,B. Leverkusen,2027-06-30,2020-07-01,Relatives,Adidas,85.0,85.0
107,Callum Hudson-Odoi,Callum James Hudson-Odoi,22,1.77,England  Ghana,London,17.0,35.0,Attack - Left Winger,17,Right,B. Leverkusen,2023-06-30,2022-08-30,Relatives,Adidas,17.0,35.0
108,Amine Adli,,23,1.74,France  Morocco,Béziers,15.0,15.0,Attack - Left Winger,21,Left,B. Leverkusen,2026-06-30,2021-08-26,Concept Sport Agency,Adidas,15.0,15.0
109,Moussa Diaby,,23,1.7,France  Mali,Paris,50.0,60.0,Attack - Right Winger,19,Left,B. Leverkusen,2025-06-30,2019-07-01,Ais Sport Service,Unknown,50.0,60.0
110,Karim Bellarabi,كريم بلعربي,33,1.84,Germany  Morocco,Berlin,2.5,22.0,Attack - Right Winger,38,Right,B. Leverkusen,2023-06-30,2011-07-01,Kl Sportsbase,Unknown,2.5,22.0
111,Patrik Schick,,27,1.91,Czech Republic,Praha,30.0,50.0,Attack - Centre-Forward,14,Left,B. Leverkusen,2027-06-30,2020-09-08,Int. Sport ...,Unknown,30.0,50.0
112,Adam Hlozek,Adam Hložek,20,1.88,Czech Republic,Ivančice,15.0,20.0,Attack - Centre-Forward,23,Right,B. Leverkusen,2027-06-30,2022-07-01,Int. Sport ...,Nike,15.0,20.0
113,Sardar Azmoun,سردار آزمون,28,1.86,Iran,"Gonbad-E Kavus, Golestan",12.0,25.0,Attack - Centre-Forward,9,Both,B. Leverkusen,2027-06-30,2022-01-30,Epic Sports,Nike,12.0,25.0
114,Kevin Trapp,Kevin Christian Trapp,32,1.89,Germany,Merzig,8.5,12.0,Goalkeeper,1,Right,E. Frankfurt,2026-06-30,2019-08-07,Sports360 Gmbh,Adidas,8.5,12.0
115,Diant Ramaj,,21,1.89,Germany  Kosovo,Stuttgart,0.75,0.75,Goalkeeper,40,Both,E. Frankfurt,2027-06-30,2021-07-01,Bms Sportconsulting ...,Unknown,0.75,0.75
116,Jens Grahl,,34,1.92,Germany,Stuttgart,0.2,0.75,Goalkeeper,31,Right,E. Frankfurt,2026-06-30,2021-07-19,Pesm,Unknown,0.2,0.75
117,Simon Simoni,,18,1.94,Albania,Lezhë,0.2,0.25,Goalkeeper,41,Right,E. Frankfurt,2027-06-30,2023-01-01,Creatio Management,Unknown,0.2,0.25
118,Evan Ndicka,Obite Evan Ndicka,23,1.92,France  Cameroon,Paris,32.0,32.0,Defender - Centre-Back,2,Left,E. Frankfurt,2023-06-30,2018-07-05,Ams Consulting,Unknown,32.0,32.0
119,Tuta,,23,1.85,Brazil,São Paulo,15.0,15.0,Defender - Centre-Back,35,Right,E. Frankfurt,2026-06-30,2019-01-31,Wolfs,Unknown,15.0,15.0
120,Hrvoje Smolcic,Hrvoje Smolčić,22,1.85,Croatia,Gospić,5.0,5.0,Defender - Centre-Back,5,Left,E. Frankfurt,2027-06-30,2022-07-01,Niagara Sports ...,Unknown,5.0,5.0
121,Almamy Touré,,27,1.83,Mali  France,Bamako,2.5,8.0,Defender - Centre-Back,18,Right,E. Frankfurt,2023-06-30,2019-01-31,Unknown,Unknown,2.5,8.0
122,Makoto Hasebe,長谷部 誠,39,1.8,Japan,"Fujieda, Shizuoka",0.8,5.0,Defender - Centre-Back,20,Right,E. Frankfurt,2024-06-30,2014-07-01,Pro Profil Gmbh,Puma,0.8,5.0
123,Philipp Max,,29,1.77,Germany,Viersen,6.0,20.0,Defender - Left-Back,32,Left,E. Frankfurt,2023-06-30,2023-01-31,Sports360 Gmbh,Nike,6.0,20.0
124,Christopher Lenz,,28,1.8,Germany,Berlin,5.0,5.0,Defender - Left-Back,25,Left,E. Frankfurt,2024-06-30,2021-07-01,Roof,Unknown,5.0,5.0
125,Jan Schröder,Jan Alex Wilson Schröder,20,1.82,Germany  Spain,Herrenberg,0.2,0.2,Defender - Left-Back,49,Left,E. Frankfurt,2023-06-30,2021-08-20,Unknown,Unknown,0.2,0.2
126,Aurélio Buta,Aurélio Gabriel Ulineia Buta,26,1.72,Portugal  Angola,Unknown,6.0,6.0,Defender - Right-Back,24,Right,E. Frankfurt,2026-06-30,2022-07-01,Proeleven S.A.,Unknown,6.0,6.0
127,Timothy Chandler,,33,1.86,United States  Germany,Frankfurt Am Main,1.2,5.0,Defender - Right-Back,22,Right,E. Frankfurt,2025-06-30,2014-07-01,Sports Excellence ...,Adidas,1.2,5.0
128,Kristijan Jakic,Kristijan Jakić,25,1.81,Croatia,Split,9.0,9.0,midfield - Defensive Midfield,6,Right,E. Frankfurt,2026-06-30,2022-07-01,Niagara Sports ...,Unknown,9.0,9.0
129,Djibril Sow,Mohameth Djibril Ibrahima Sow,26,1.84,Switzerland  Senegal,Zürich,22.0,22.0,midfield - Central Midfield,8,Right,E. Frankfurt,2024-06-30,2019-07-01,Signature - Iscm Ag,Unknown,22.0,22.0
130,Sebastian Rode,,32,1.79,Germany,Seeheim-Jugenheim,2.5,10.0,midfield - Central Midfield,17,Right,E. Frankfurt,2024-06-30,2019-07-27,Pro Profil Gmbh,Nike,2.5,10.0
131,Marcel Wenig,,19,1.88,Germany  Greece,Nürnberg,0.8,0.8,midfield - Central Midfield,28,Right,E. Frankfurt,2025-06-30,2022-07-01,Skylar,Adidas,0.8,0.8
132,Mehdi Loune,,18,1.72,Germany  Morocco,Hanau,0.3,0.3,midfield - Central Midfield,45,Unknown,E. Frankfurt,2025-06-30,2022-07-01,Selected ...,Puma,0.3,0.3
